日付,商品名,入庫数
2026-01-01,ドリップコーヒー12杯,25
2026-01-02,定期便（月1）,16
2026-01-03,コーヒー豆200g,27
2026-01-05,カフェオレベース,24
2026-01-07,ギフトセット,11
2026-01-09,ドリップパックギフト,16
2026-01-11,マグカップ,17
2026-01-13,タンブラー,13
2026-01-15,ドリップコーヒー12杯,24
2026-01-17,定期便（月1）,19
2026-01-19,ギフトセット,9
2026-01-19,コーヒー豆200g,29
2026-01-20,カフェオレベース,16
2026-01-22,ドリップパックギフト,21
2026-01-25,タンブラー,18
2026-01-27,ドリップコーヒー12杯,28
2026-01-28,マグカップ,16
2026-01-30,定期便（月1）,13
2026-02-01,カフェオレベース,26
2026-02-02,コーヒー豆200g,38
2026-02-03,ギフトセット,11
2026-02-06,ドリップパックギフト,15
2026-02-10,タンブラー,11
2026-02-11,定期便（月1）,16
2026-02-13,マグカップ,18
2026-02-14,ドリップコーヒー12杯,23
2026-02-16,ギフトセット,12
2026-02-18,カフェオレベース,25
2026-02-20,コーヒー豆200g,21
2026-02-22,タンブラー,11
2026-02-24,ドリップパックギフト,19
2026-02-24,定期便（月1）,16
2026-02-25,マグカップ,21
2026-03-02,ギフトセット,10
2026-03-03,ドリップコーヒー12杯,32
2026-03-04,カフェオレベース,31
2026-03-04,コーヒー豆200g,27
2026-03-06,タンブラー,17
2026-03-11,ドリップパックギフト,17
2026-03-12,マグカップ,15
2026-03-12,定期便（月1）,16
2026-03-16,コーヒー豆200g,27
2026-03-17,ギフトセット,10
2026-03-20,ドリップコーヒー12杯,27
2026-03-22,カフェオレベース,19
2026-03-22,タンブラー,13
2026-03-24,ドリップパックギフト,17
2026-03-24,マグカップ,18
2026-03-25,定期便（月1）,16
2026-03-30,ギフトセット,10
2026-04-02,ドリップコーヒー12杯,28
2026-04-03,コーヒー豆200g,22
2026-04-05,タンブラー,15
2026-04-06,ドリップパックギフト,11
2026-04-07,カフェオレベース,22
2026-04-08,定期便（月1）,27
2026-04-09,マグカップ,20
2026-04-12,ギフトセット,9
2026-04-17,ドリップコーヒー12杯,26
2026-04-18,コーヒー豆200g,22
2026-04-19,ドリップパックギフト,21
2026-04-23,タンブラー,16
2026-04-24,カフェオレベース,29
2026-04-24,ギフトセット,12
2026-04-25,マグカップ,16
2026-04-26,定期便（月1）,16
2026-04-30,コーヒー豆200g,26
2026-05-03,ドリップコーヒー12杯,25
2026-05-04,ドリップパックギフト,22
2026-05-06,ギフトセット,14
2026-05-08,タンブラー,9
2026-05-11,マグカップ,24
2026-05-12,カフェオレベース,19
2026-05-12,定期便（月1）,17
2026-05-15,コーヒー豆200g,23
2026-05-15,ドリップコーヒー12杯,23
2026-05-20,タンブラー,16
2026-05-21,ギフトセット,9
2026-05-21,ドリップパックギフト,22
2026-05-25,カフェオレベース,29
2026-05-27,定期便（月1）,17
2026-05-28,マグカップ,22
2026-05-29,コーヒー豆200g,20
2026-05-30,ドリップコーヒー12杯,19
2026-06-03,ギフトセット,10
2026-06-07,タンブラー,9
2026-06-08,ドリップパックギフト,21
2026-06-10,コーヒー豆200g,30
2026-06-11,カフェオレベース,21
2026-06-12,定期便（月1）,17
2026-06-13,ドリップコーヒー12杯,29
2026-06-14,マグカップ,17
2026-06-15,ギフトセット,11
2026-06-19,タンブラー,12
2026-06-24,カフェオレベース,26
2026-06-24,定期便（月1）,14
2026-06-25,コーヒー豆200g,26
2026-06-25,ドリップパックギフト,11
2026-06-28,ギフトセット,15
2026-06-28,ドリップコーヒー12杯,21
2026-06-29,マグカップ,16
2026-07-02,タンブラー,14
2026-07-06,定期便（月1）,23
2026-07-07,ドリップパックギフト,17
2026-07-08,カフェオレベース,15
2026-07-10,コーヒー豆200g,21
2026-07-11,マグカップ,23
2026-07-12,ドリップコーヒー12杯,30
2026-07-14,タンブラー,12
2026-07-15,ギフトセット,11
2026-07-20,カフェオレベース,24
2026-07-23,定期便（月1）,20
2026-07-24,コーヒー豆200g,30
2026-07-24,ドリップパックギフト,10
2026-07-28,タンブラー,11
2026-07-29,マグカップ,22
2026-07-30,ギフトセット,14
2026-07-30,ドリップコーヒー12杯,31
2026-08-03,カフェオレベース,16
2026-08-05,ドリップパックギフト,22
2026-08-05,定期便（月1）,17
2026-08-06,コーヒー豆200g,24
2026-08-10,タンブラー,19
2026-08-13,ギフトセット,10
2026-08-15,カフェオレベース,18
2026-08-15,マグカップ,20
2026-08-16,ドリップコーヒー12杯,22
2026-08-19,定期便（月1）,18
2026-08-21,コーヒー豆200g,31
2026-08-23,ドリップパックギフト,16
2026-08-27,ギフトセット,12
2026-08-28,カフェオレベース,30
2026-08-28,タンブラー,9
2026-08-29,マグカップ,15
2026-08-31,ドリップコーヒー12杯,23
2026-09-05,定期便（月1）,22
2026-09-07,ドリップパックギフト,20
2026-09-08,コーヒー豆200g,37
2026-09-10,タンブラー,9
2026-09-11,ギフトセット,16
2026-09-11,マグカップ,21
2026-09-14,カフェオレベース,31
2026-09-15,ドリップコーヒー12杯,26
2026-09-20,定期便（月1）,15
2026-09-22,タンブラー,14
2026-09-22,ドリップパックギフト,19
2026-09-25,コーヒー豆200g,34
2026-09-25,マグカップ,17
2026-09-29,ギフトセット,13
