日付,商品名,カテゴリ,地域,数量,単価,売上金額
2026-04-01,マグカップ,雑貨,福岡,5,1800,9000
2026-04-01,カフェオレベース,食品,名古屋,2,980,1960
2026-04-02,定期便（月1）,サブスク,大阪,2,3600,7200
2026-04-02,コーヒー豆200g,食品,福岡,5,1500,7500
2026-04-02,マグカップ,雑貨,その他,1,1800,1800
2026-04-02,定期便（月1）,サブスク,名古屋,3,3600,10800
2026-04-02,コーヒー豆200g,食品,福岡,2,1500,3000
2026-04-03,マグカップ,雑貨,東京,5,1800,9000
2026-04-03,カフェオレベース,食品,名古屋,2,980,1960
2026-04-03,コーヒー豆200g,食品,東京,1,1500,1500
2026-04-03,タンブラー,雑貨,名古屋,2,2800,5600
2026-04-03,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-04-04,コーヒー豆200g,食品,東京,4,1500,6000
2026-04-04,コーヒー豆200g,食品,東京,1,1500,1500
2026-04-05,マグカップ,雑貨,その他,4,1800,7200
2026-04-05,定期便（月1）,サブスク,福岡,3,3600,10800
2026-04-06,カフェオレベース,食品,大阪,2,980,1960
2026-04-06,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-04-06,マグカップ,雑貨,その他,1,1800,1800
2026-04-06,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-04-07,定期便（月1）,サブスク,東京,2,3600,7200
2026-04-07,マグカップ,雑貨,大阪,2,1800,3600
2026-04-08,コーヒー豆200g,食品,東京,1,1500,1500
2026-04-08,定期便（月1）,サブスク,大阪,4,3600,14400
2026-04-08,コーヒー豆200g,食品,東京,3,1500,4500
2026-04-08,定期便（月1）,サブスク,大阪,4,3600,14400
2026-04-09,マグカップ,雑貨,大阪,2,1800,3600
2026-04-09,定期便（月1）,サブスク,東京,3,3600,10800
2026-04-09,ドリップパックギフト,ギフト,大阪,2,3200,6400
2026-04-09,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-04-09,コーヒー豆200g,食品,札幌,1,1500,1500
2026-04-10,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-04-10,カフェオレベース,食品,東京,1,980,980
2026-04-10,カフェオレベース,食品,東京,3,980,2940
2026-04-10,マグカップ,雑貨,大阪,5,1800,9000
2026-04-11,コーヒー豆200g,食品,東京,2,1500,3000
2026-04-11,ギフトセット,ギフト,東京,2,4500,9000
2026-04-11,カフェオレベース,食品,東京,2,980,1960
2026-04-11,ドリップパックギフト,ギフト,札幌,4,3200,12800
2026-04-12,定期便（月1）,サブスク,東京,5,3600,18000
2026-04-12,マグカップ,雑貨,東京,4,1800,7200
2026-04-12,ドリップコーヒー12杯,食品,名古屋,5,1200,6000
2026-04-13,定期便（月1）,サブスク,東京,4,3600,14400
2026-04-13,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-04-13,ギフトセット,ギフト,大阪,1,4500,4500
2026-04-13,マグカップ,雑貨,福岡,1,1800,1800
2026-04-13,定期便（月1）,サブスク,その他,4,3600,14400
2026-04-13,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-04-14,コーヒー豆200g,食品,大阪,3,1500,4500
2026-04-14,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-04-14,コーヒー豆200g,食品,大阪,4,1500,6000
2026-04-14,ドリップパックギフト,ギフト,福岡,4,3200,12800
2026-04-15,カフェオレベース,食品,東京,2,980,1960
2026-04-15,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-04-15,カフェオレベース,食品,東京,5,980,4900
2026-04-15,カフェオレベース,食品,その他,5,980,4900
2026-04-15,ギフトセット,ギフト,その他,1,4500,4500
2026-04-15,コーヒー豆200g,食品,東京,5,1500,7500
2026-04-16,カフェオレベース,食品,東京,4,980,3920
2026-04-16,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-04-17,カフェオレベース,食品,その他,3,980,2940
2026-04-17,タンブラー,雑貨,福岡,3,2800,8400
2026-04-17,定期便（月1）,サブスク,福岡,4,3600,14400
2026-04-17,タンブラー,雑貨,大阪,3,2800,8400
2026-04-17,ドリップパックギフト,ギフト,福岡,2,3200,6400
2026-04-17,コーヒー豆200g,食品,大阪,1,1500,1500
2026-04-18,マグカップ,雑貨,大阪,2,1800,3600
2026-04-18,コーヒー豆200g,食品,東京,4,1500,6000
2026-04-18,ドリップパックギフト,ギフト,名古屋,2,3200,6400
2026-04-18,タンブラー,雑貨,名古屋,3,2800,8400
2026-04-18,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-04-19,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-04-19,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-04-19,マグカップ,雑貨,東京,2,1800,3600
2026-04-19,マグカップ,雑貨,名古屋,2,1800,3600
2026-04-20,コーヒー豆200g,食品,その他,2,1500,3000
2026-04-20,ドリップパックギフト,ギフト,名古屋,5,3200,16000
2026-04-20,ギフトセット,ギフト,東京,4,4500,18000
2026-04-20,カフェオレベース,食品,東京,1,980,980
2026-04-21,ドリップパックギフト,ギフト,その他,1,3200,3200
2026-04-21,コーヒー豆200g,食品,大阪,5,1500,7500
2026-04-21,定期便（月1）,サブスク,東京,4,3600,14400
2026-04-21,マグカップ,雑貨,大阪,2,1800,3600
2026-04-21,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-04-21,ドリップコーヒー12杯,食品,札幌,3,1200,3600
2026-04-22,コーヒー豆200g,食品,東京,1,1500,1500
2026-04-22,定期便（月1）,サブスク,東京,5,3600,18000
2026-04-23,マグカップ,雑貨,東京,2,1800,3600
2026-04-23,定期便（月1）,サブスク,東京,4,3600,14400
2026-04-23,ドリップパックギフト,ギフト,名古屋,2,3200,6400
2026-04-23,タンブラー,雑貨,東京,1,2800,2800
2026-04-24,マグカップ,雑貨,大阪,2,1800,3600
2026-04-24,カフェオレベース,食品,東京,5,980,4900
2026-04-24,コーヒー豆200g,食品,東京,2,1500,3000
2026-04-25,定期便（月1）,サブスク,福岡,5,3600,18000
2026-04-25,コーヒー豆200g,食品,福岡,5,1500,7500
2026-04-25,ギフトセット,ギフト,札幌,5,4500,22500
2026-04-25,コーヒー豆200g,食品,札幌,1,1500,1500
2026-04-25,マグカップ,雑貨,その他,4,1800,7200
2026-04-25,ドリップパックギフト,ギフト,福岡,4,3200,12800
2026-04-26,コーヒー豆200g,食品,福岡,1,1500,1500
2026-04-26,定期便（月1）,サブスク,東京,2,3600,7200
2026-04-26,マグカップ,雑貨,その他,4,1800,7200
2026-04-26,タンブラー,雑貨,東京,4,2800,11200
2026-04-26,コーヒー豆200g,食品,大阪,2,1500,3000
2026-04-27,コーヒー豆200g,食品,東京,3,1500,4500
2026-04-27,タンブラー,雑貨,名古屋,5,2800,14000
2026-04-27,定期便（月1）,サブスク,東京,4,3600,14400
2026-04-28,ギフトセット,ギフト,福岡,2,4500,9000
2026-04-28,マグカップ,雑貨,名古屋,2,1800,3600
2026-04-28,ギフトセット,ギフト,名古屋,1,4500,4500
2026-04-29,定期便（月1）,サブスク,その他,4,3600,14400
2026-04-29,タンブラー,雑貨,東京,1,2800,2800
2026-04-30,ドリップコーヒー12杯,食品,福岡,3,1200,3600
2026-04-30,タンブラー,雑貨,その他,3,2800,8400
2026-04-30,ギフトセット,ギフト,名古屋,3,4500,13500
2026-04-30,コーヒー豆200g,食品,札幌,1,1500,1500
2026-04-30,カフェオレベース,食品,札幌,1,980,980
2026-04-30,コーヒー豆200g,食品,東京,5,1500,7500
2026-05-01,ギフトセット,ギフト,東京,2,4500,9000
2026-05-01,定期便（月1）,サブスク,東京,4,3600,14400
2026-05-02,コーヒー豆200g,食品,大阪,2,1500,3000
2026-05-02,ギフトセット,ギフト,名古屋,4,4500,18000
2026-05-02,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-05-03,コーヒー豆200g,食品,大阪,4,1500,6000
2026-05-03,カフェオレベース,食品,福岡,1,980,980
2026-05-03,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-05-04,マグカップ,雑貨,東京,5,1800,9000
2026-05-04,マグカップ,雑貨,名古屋,1,1800,1800
2026-05-04,ドリップコーヒー12杯,食品,名古屋,5,1200,6000
2026-05-05,タンブラー,雑貨,東京,1,2800,2800
2026-05-05,ギフトセット,ギフト,東京,1,4500,4500
2026-05-05,コーヒー豆200g,食品,札幌,3,1500,4500
2026-05-05,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-05-05,ドリップコーヒー12杯,食品,福岡,5,1200,6000
2026-05-05,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-05-06,定期便（月1）,サブスク,東京,5,3600,18000
2026-05-06,マグカップ,雑貨,大阪,4,1800,7200
2026-05-06,ドリップコーヒー12杯,食品,名古屋,4,1200,4800
2026-05-06,タンブラー,雑貨,名古屋,4,2800,11200
2026-05-06,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-05-07,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-05-07,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-05-07,コーヒー豆200g,食品,大阪,3,1500,4500
2026-05-08,コーヒー豆200g,食品,札幌,1,1500,1500
2026-05-08,マグカップ,雑貨,東京,5,1800,9000
2026-05-08,カフェオレベース,食品,その他,5,980,4900
2026-05-08,ドリップパックギフト,ギフト,札幌,3,3200,9600
2026-05-08,タンブラー,雑貨,札幌,1,2800,2800
2026-05-09,ドリップパックギフト,ギフト,東京,5,3200,16000
2026-05-09,カフェオレベース,食品,名古屋,2,980,1960
2026-05-09,コーヒー豆200g,食品,大阪,5,1500,7500
2026-05-09,カフェオレベース,食品,東京,3,980,2940
2026-05-10,コーヒー豆200g,食品,札幌,3,1500,4500
2026-05-10,カフェオレベース,食品,名古屋,2,980,1960
2026-05-11,カフェオレベース,食品,その他,5,980,4900
2026-05-11,タンブラー,雑貨,大阪,2,2800,5600
2026-05-12,コーヒー豆200g,食品,大阪,3,1500,4500
2026-05-12,カフェオレベース,食品,東京,1,980,980
2026-05-12,コーヒー豆200g,食品,東京,1,1500,1500
2026-05-13,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-05-13,タンブラー,雑貨,福岡,5,2800,14000
2026-05-13,ドリップパックギフト,ギフト,福岡,5,3200,16000
2026-05-13,マグカップ,雑貨,福岡,4,1800,7200
2026-05-14,ドリップコーヒー12杯,食品,東京,4,1200,4800
2026-05-14,ドリップコーヒー12杯,食品,東京,4,1200,4800
2026-05-14,コーヒー豆200g,食品,東京,5,1500,7500
2026-05-14,カフェオレベース,食品,札幌,5,980,4900
2026-05-15,コーヒー豆200g,食品,その他,4,1500,6000
2026-05-15,ギフトセット,ギフト,その他,1,4500,4500
2026-05-15,タンブラー,雑貨,その他,2,2800,5600
2026-05-15,カフェオレベース,食品,東京,2,980,1960
2026-05-15,ドリップパックギフト,ギフト,東京,1,3200,3200
2026-05-15,ドリップコーヒー12杯,食品,名古屋,3,1200,3600
2026-05-16,マグカップ,雑貨,札幌,3,1800,5400
2026-05-16,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-05-16,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-05-16,カフェオレベース,食品,東京,5,980,4900
2026-05-17,定期便（月1）,サブスク,福岡,4,3600,14400
2026-05-17,マグカップ,雑貨,東京,2,1800,3600
2026-05-18,マグカップ,雑貨,福岡,4,1800,7200
2026-05-18,マグカップ,雑貨,その他,3,1800,5400
2026-05-18,マグカップ,雑貨,大阪,4,1800,7200
2026-05-18,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-05-18,定期便（月1）,サブスク,大阪,2,3600,7200
2026-05-18,ドリップコーヒー12杯,食品,福岡,4,1200,4800
2026-05-19,ギフトセット,ギフト,その他,3,4500,13500
2026-05-19,定期便（月1）,サブスク,大阪,2,3600,7200
2026-05-20,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-05-20,カフェオレベース,食品,大阪,1,980,980
2026-05-20,コーヒー豆200g,食品,名古屋,5,1500,7500
2026-05-20,タンブラー,雑貨,東京,4,2800,11200
2026-05-21,コーヒー豆200g,食品,東京,3,1500,4500
2026-05-21,タンブラー,雑貨,その他,2,2800,5600
2026-05-21,マグカップ,雑貨,その他,4,1800,7200
2026-05-22,マグカップ,雑貨,その他,1,1800,1800
2026-05-22,タンブラー,雑貨,福岡,1,2800,2800
2026-05-22,コーヒー豆200g,食品,その他,1,1500,1500
2026-05-22,ギフトセット,ギフト,大阪,2,4500,9000
2026-05-22,カフェオレベース,食品,名古屋,2,980,1960
2026-05-23,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-05-23,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-05-23,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-05-23,コーヒー豆200g,食品,東京,4,1500,6000
2026-05-23,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-05-24,カフェオレベース,食品,福岡,1,980,980
2026-05-24,ギフトセット,ギフト,大阪,1,4500,4500
2026-05-24,ドリップパックギフト,ギフト,大阪,4,3200,12800
2026-05-24,ドリップコーヒー12杯,食品,東京,1,1200,1200
2026-05-24,定期便（月1）,サブスク,その他,5,3600,18000
2026-05-25,ギフトセット,ギフト,東京,2,4500,9000
2026-05-25,ドリップパックギフト,ギフト,大阪,1,3200,3200
2026-05-25,カフェオレベース,食品,札幌,4,980,3920
2026-05-25,マグカップ,雑貨,その他,3,1800,5400
2026-05-25,マグカップ,雑貨,大阪,4,1800,7200
2026-05-25,ドリップコーヒー12杯,食品,札幌,4,1200,4800
2026-05-26,マグカップ,雑貨,大阪,4,1800,7200
2026-05-26,コーヒー豆200g,食品,その他,3,1500,4500
2026-05-26,定期便（月1）,サブスク,その他,2,3600,7200
2026-05-26,マグカップ,雑貨,その他,2,1800,3600
2026-05-26,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-05-26,コーヒー豆200g,食品,その他,5,1500,7500
2026-05-27,ドリップコーヒー12杯,食品,東京,2,1200,2400
2026-05-27,コーヒー豆200g,食品,福岡,4,1500,6000
2026-05-27,コーヒー豆200g,食品,東京,4,1500,6000
2026-05-27,コーヒー豆200g,食品,東京,1,1500,1500
2026-05-27,コーヒー豆200g,食品,東京,5,1500,7500
2026-05-27,コーヒー豆200g,食品,名古屋,4,1500,6000
2026-05-28,カフェオレベース,食品,東京,3,980,2940
2026-05-28,コーヒー豆200g,食品,東京,2,1500,3000
2026-05-29,カフェオレベース,食品,福岡,1,980,980
2026-05-29,カフェオレベース,食品,東京,5,980,4900
2026-05-29,コーヒー豆200g,食品,札幌,3,1500,4500
2026-05-29,マグカップ,雑貨,大阪,2,1800,3600
2026-05-29,定期便（月1）,サブスク,福岡,3,3600,10800
2026-05-29,カフェオレベース,食品,大阪,3,980,2940
2026-05-30,ドリップパックギフト,ギフト,名古屋,1,3200,3200
2026-05-30,コーヒー豆200g,食品,東京,5,1500,7500
2026-05-31,タンブラー,雑貨,名古屋,5,2800,14000
2026-05-31,マグカップ,雑貨,札幌,2,1800,3600
2026-05-31,定期便（月1）,サブスク,その他,1,3600,3600
2026-05-31,ギフトセット,ギフト,札幌,2,4500,9000
2026-06-01,カフェオレベース,食品,福岡,2,980,1960
2026-06-01,ドリップパックギフト,ギフト,東京,4,3200,12800
2026-06-02,タンブラー,雑貨,大阪,4,2800,11200
2026-06-02,マグカップ,雑貨,東京,4,1800,7200
2026-06-02,ドリップコーヒー12杯,食品,名古屋,2,1200,2400
2026-06-03,ドリップパックギフト,ギフト,その他,3,3200,9600
2026-06-03,マグカップ,雑貨,東京,4,1800,7200
2026-06-03,ドリップコーヒー12杯,食品,その他,5,1200,6000
2026-06-04,カフェオレベース,食品,東京,3,980,2940
2026-06-04,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-06-04,ギフトセット,ギフト,名古屋,5,4500,22500
2026-06-05,カフェオレベース,食品,東京,3,980,2940
2026-06-05,ドリップパックギフト,ギフト,福岡,3,3200,9600
2026-06-05,マグカップ,雑貨,東京,3,1800,5400
2026-06-06,ドリップコーヒー12杯,食品,東京,3,1200,3600
2026-06-06,定期便（月1）,サブスク,札幌,1,3600,3600
2026-06-06,マグカップ,雑貨,大阪,2,1800,3600
2026-06-07,コーヒー豆200g,食品,福岡,2,1500,3000
2026-06-07,ギフトセット,ギフト,その他,4,4500,18000
2026-06-08,マグカップ,雑貨,東京,1,1800,1800
2026-06-08,ドリップコーヒー12杯,食品,大阪,5,1200,6000
2026-06-08,定期便（月1）,サブスク,その他,3,3600,10800
2026-06-08,カフェオレベース,食品,その他,1,980,980
2026-06-08,ドリップパックギフト,ギフト,札幌,5,3200,16000
2026-06-08,カフェオレベース,食品,名古屋,1,980,980
2026-06-09,ギフトセット,ギフト,名古屋,1,4500,4500
2026-06-09,カフェオレベース,食品,東京,1,980,980
2026-06-10,マグカップ,雑貨,東京,4,1800,7200
2026-06-10,タンブラー,雑貨,東京,4,2800,11200
2026-06-10,定期便（月1）,サブスク,名古屋,1,3600,3600
2026-06-11,カフェオレベース,食品,東京,4,980,3920
2026-06-11,カフェオレベース,食品,名古屋,1,980,980
2026-06-11,カフェオレベース,食品,福岡,5,980,4900
2026-06-11,コーヒー豆200g,食品,福岡,1,1500,1500
2026-06-11,コーヒー豆200g,食品,大阪,4,1500,6000
2026-06-11,カフェオレベース,食品,福岡,1,980,980
2026-06-12,ドリップパックギフト,ギフト,その他,5,3200,16000
2026-06-12,定期便（月1）,サブスク,東京,1,3600,3600
2026-06-12,マグカップ,雑貨,東京,4,1800,7200
2026-06-13,ドリップコーヒー12杯,食品,東京,5,1200,6000
2026-06-13,タンブラー,雑貨,東京,5,2800,14000
2026-06-13,ギフトセット,ギフト,大阪,4,4500,18000
2026-06-14,ギフトセット,ギフト,福岡,4,4500,18000
2026-06-14,カフェオレベース,食品,札幌,3,980,2940
2026-06-14,ギフトセット,ギフト,東京,2,4500,9000
2026-06-14,ドリップコーヒー12杯,食品,名古屋,5,1200,6000
2026-06-14,タンブラー,雑貨,東京,3,2800,8400
2026-06-14,ドリップコーヒー12杯,食品,名古屋,1,1200,1200
2026-06-15,カフェオレベース,食品,その他,5,980,4900
2026-06-15,マグカップ,雑貨,大阪,4,1800,7200
2026-06-15,コーヒー豆200g,食品,その他,2,1500,3000
2026-06-15,ドリップコーヒー12杯,食品,大阪,1,1200,1200
2026-06-16,ドリップコーヒー12杯,食品,東京,4,1200,4800
2026-06-16,タンブラー,雑貨,東京,3,2800,8400
2026-06-17,マグカップ,雑貨,名古屋,4,1800,7200
2026-06-17,タンブラー,雑貨,名古屋,4,2800,11200
2026-06-18,コーヒー豆200g,食品,福岡,2,1500,3000
2026-06-18,ドリップコーヒー12杯,食品,大阪,2,1200,2400
2026-06-19,コーヒー豆200g,食品,札幌,4,1500,6000
